period,day_type,hour,station_code,tap_in_vol,tap_out_vol,code,code2,code3,interchange,NS,SW,CC,EW,NE,BP,CE,DT,PW,TE,PE,CG,SE,name
2022-03,weekend,16,CC2,1260,940,CC2,,,False,,,2.0,,,,,,,,,,,Bras Basah
2022-03,weekend,14,CC12,1220,1161,CC12,,,False,,,12.0,,,,,,,,,,,Bartley
2022-03,weekday,14,CC12,9019,3797,CC12,,,False,,,12.0,,,,,,,,,,,Bartley
2022-03,weekday,16,NS20,43252,16188,NS20,,,False,20.0,,,,,,,,,,,,,Novena
2022-03,weekend,16,NS20,8287,5409,NS20,,,False,20.0,,,,,,,,,,,,,Novena
2022-03,weekday,24,CG2,30,39,CG2,,,False,,,,,,,,,,,,2.0,,Changi Airport
2022-03,weekend,24,CG2,11,19,CG2,,,False,,,,,,,,,,,,2.0,,Changi Airport
2022-03,weekday,16,NE5,8131,6608,NE5,,,False,,,,,5.0,,,,,,,,,Clarke Quay
2022-03,weekend,16,NE5,2862,3642,NE5,,,False,,,,,5.0,,,,,,,,,Clarke Quay
2022-03,weekday,11,NE16/STC,31313,23151,NE16,STC,,True,,,,,16.0,,,,,,,,0.0,Sengkang
2022-03,weekend,11,NE16/STC,14452,11116,NE16,STC,,True,,,,,16.0,,,,,,,,0.0,Sengkang
2022-03,weekend,9,TE6,1657,900,TE6,,,False,,,,,,,,,,6.0,,,,Mayflower
2022-03,weekday,9,TE6,4741,2028,TE6,,,False,,,,,,,,,,6.0,,,,Mayflower
2022-03,weekday,13,EW9,16929,11128,EW9,,,False,,,,9.0,,,,,,,,,,Aljunied
2022-03,weekend,13,EW9,7058,6293,EW9,,,False,,,,9.0,,,,,,,,,,Aljunied
2022-03,weekend,8,TE5,501,375,TE5,,,False,,,,,,,,,,5.0,,,,Lentor
2022-03,weekday,8,TE5,2802,1639,TE5,,,False,,,,,,,,,,5.0,,,,Lentor
2022-03,weekday,17,CC6,8781,8067,CC6,,,False,,,6.0,,,,,,,,,,,Stadium
2022-03,weekend,17,CC6,4860,4459,CC6,,,False,,,6.0,,,,,,,,,,,Stadium
2022-03,weekday,8,NE8,19818,25316,NE8,,,False,,,,,8.0,,,,,,,,,Farrer Park
2022-03,weekend,8,NE8,4248,5648,NE8,,,False,,,,,8.0,,,,,,,,,Farrer Park
2022-03,weekend,20,CC7,1000,1852,CC7,,,False,,,7.0,,,,,,,,,,,Mountbatten
2022-03,weekday,20,CC7,2834,5702,CC7,,,False,,,7.0,,,,,,,,,,,Mountbatten
