postal,x,y,lat,long,name,subzone,area,region,code,status,bus_interchange,mrt_interchange,code1,code2,code3,CC,NE,NS,DT,EW,CG,BP,TE,CE
18948,31241.82601,28169.251089999998,1.271027036,103.8624475,Marina South Pier,Straits View,Straits View,Central,NS28,operational,False,False,NS28,,,,,28,,,,,,
659083,18926.9127,37854.03588,1.3586115909999998,103.7517909,Bukit Gombak,Guilin,Bukit Batok,West,NS3,operational,False,False,NS3,,,,,3,,,,,,
689810,18101.2472,40812.12161,1.385363165,103.7443708,Choa Chu Kang,Choa Chu Kang Central,Choa Chu Kang,West,NS4,operational,True,False,NS4,,,,,4,,,,,,
689715,18438.983119999997,42158.0181,1.3975350690000001,103.7474052,Yew Tee,Yew Tee,Choa Chu Kang,West,NS5,operational,False,False,NS5,,,,,5,,,,,,
738702,20078.58651,45204.51685,1.425086981,103.7621375,Kranji,Turf Club,Sungei Kadut,North,NS7,operational,False,False,NS7,,,,,7,,,,,,
739044,21407.04132,46026.51253,1.432521149,103.77407459999999,Marsiling,Woodlands West,Woodlands,North,NS8,operational,False,False,NS8,,,,,8,,,,,,
737668,22699.99124,47770.39457,1.448292453,103.7856927,Woodlands North,Greenwood Park,Woodlands,North,TE1,operational,False,False,TE1,,,,,,,,,,1,
299781,28208.112189999996,34531.43523,1.328564555,103.8351886,Mount Pleasant,Mount Pleasant,Novena,Central,TE10,future,False,False,TE10,,,,,,,,,,10,
258511,26402.80266,32122.95592,1.306783078,103.818967,Napier,Nassim,Tanglin,Central,TE12,future,False,False,TE12,,,,,,,,,,12,
248654,26948.29454,31640.75525,1.302422248,103.8238685,Orchard Boulevard,One Tree Hill,River Valley,Central,TE13,future,False,False,TE13,,,,,,,,,,13,
237974,27783.69734,31709.532489999998,1.3030442629999999,103.831375,Orchard,Paterson,River Valley,Central,TE14/NS22,future,False,True,TE14,NS22,,,,22,,,,,14,
238384,28044.76787,30703.73245,1.293948162,103.8337208,Great World,Institution Hill,River Valley,Central,TE15,future,False,False,TE15,,,,,,,,,,15,
168604,28029.743660000004,30101.88222,1.28850524,103.8335858,Havelock,Bukit Ho Swee,Bukit Merah,Central,TE16,future,False,False,TE16,,,,,,,,,,16,
58841,29175.808839999998,29220.38855,1.280533298,103.8438837,Maxwell,Chinatown,Outram,Central,TE18,future,False,False,TE18,,,,,,,,,,18,
18928,29897.41915,28908.96172,1.277716828,103.8503676,Shenton Way,Central Subzone,Downtown Core,Central,TE19,future,False,False,TE19,,,,,,,,,,19,
737736,22949.919130000002,46417.52233,1.436057617,103.78793879999999,Woodlands,Woodlands Regional Centre,Woodlands,North,TE2/NS9,operational,True,True,TE2,NS9,,,,9,,,,,2,
19397,31367.226260000003,28559.32995,1.2745547590000001,103.8635743,Marina South,Straits View,Straits View,Central,TE21,future,False,False,TE21,,,,,,,,,,21,
19396,31799.072180000003,28994.17088,1.278487259,103.8674547,Gardens By The Bay,Marina South,Marina South,Central,TE22,future,False,False,TE22,,,,,,,,,,22,
436488,32466.634530000003,31070.53549,1.297265079,103.8734533,Tanjong Rhu,Tanjong Rhu,Kallang,Central,TE23,future,False,False,TE23,,,,,,,,,,23,
