period,day_type,hour,station_code,tap_in_vol,tap_out_vol,code,code2,code3,interchange,NS,SW,CC,EW,NE,DT,CE,BP,PW,TE,PE,CG,SE,name
2022-01,weekend,8,BP9,1431,802,BP9,,,FALSE,,,,,,,,9,,,,,,Bangkit
2022-01,weekday,7,BP9,5767,6489,BP9,,,FALSE,,,,,,,,9,,,,,,Bangkit
2022-01,weekend,7,BP9,892,521,BP9,,,FALSE,,,,,,,,9,,,,,,Bangkit
2022-01,weekend,13,BP9,1265,790,BP9,,,FALSE,,,,,,,,9,,,,,,Bangkit
2022-01,weekday,13,BP9,3253,2202,BP9,,,FALSE,,,,,,,,9,,,,,,Bangkit
2022-01,weekend,21,BP9,336,616,BP9,,,FALSE,,,,,,,,9,,,,,,Bangkit
2022-01,weekday,21,BP9,673,1660,BP9,,,FALSE,,,,,,,,9,,,,,,Bangkit
2022-01,weekday,10,BP9,3148,1393,BP9,,,FALSE,,,,,,,,9,,,,,,Bangkit
2022-01,weekend,10,BP9,1872,1043,BP9,,,FALSE,,,,,,,,9,,,,,,Bangkit
2022-01,weekday,20,BP9,1218,2141,BP9,,,FALSE,,,,,,,,9,,,,,,Bangkit
2022-01,weekend,20,BP9,541,728,BP9,,,FALSE,,,,,,,,9,,,,,,Bangkit
2022-01,weekend,14,CC12,1386,1458,CC12,,,FALSE,,,12,,,,,,,,,,,Bartley
2022-01,weekday,14,CC12,14057,4019,CC12,,,FALSE,,,12,,,,,,,,,,,Bartley
2022-01,weekday,16,CC12,5940,3237,CC12,,,FALSE,,,12,,,,,,,,,,,Bartley
2022-01,weekend,16,CC12,1613,1244,CC12,,,FALSE,,,12,,,,,,,,,,,Bartley
2022-01,weekend,5,CC12,99,5,CC12,,,FALSE,,,12,,,,,,,,,,,Bartley
2022-01,weekday,5,CC12,323,115,CC12,,,FALSE,,,12,,,,,,,,,,,Bartley
2022-01,weekend,23,CC12,166,637,CC12,,,FALSE,,,12,,,,,,,,,,,Bartley
2022-01,weekday,23,CC12,363,1150,CC12,,,FALSE,,,12,,,,,,,,,,,Bartley
2022-01,weekday,17,CC12,9276,4285,CC12,,,FALSE,,,12,,,,,,,,,,,Bartley
2022-01,weekend,17,CC12,1916,1503,CC12,,,FALSE,,,12,,,,,,,,,,,Bartley
2022-01,weekend,6,CC12,448,256,CC12,,,FALSE,,,12,,,,,,,,,,,Bartley
2022-01,weekday,6,CC12,4276,10905,CC12,,,FALSE,,,12,,,,,,,,,,,Bartley
2022-01,weekday,15,CC12,7864,3791,CC12,,,FALSE,,,12,,,,,,,,,,,Bartley
2022-01,weekend,15,CC12,1725,1327,CC12,,,FALSE,,,12,,,,,,,,,,,Bartley
2022-01,weekday,10,CC12,4515,1693,CC12,,,FALSE,,,12,,,,,,,,,,,Bartley
2022-01,weekend,10,CC12,2031,887,CC12,,,FALSE,,,12,,,,,,,,,,,Bartley
2022-01,weekday,22,CC12,833,2440,CC12,,,FALSE,,,12,,,,,,,,,,,Bartley
2022-01,weekend,22,CC12,434,1074,CC12,,,FALSE,,,12,,,,,,,,,,,Bartley
2022-01,weekend,9,CC12,1787,1107,CC12,,,FALSE,,,12,,,,,,,,,,,Bartley
2022-01,weekday,9,CC12,4241,2387,CC12,,,FALSE,,,12,,,,,,,,,,,Bartley
2022-01,weekday,8,CC12,7542,4730,CC12,,,FALSE,,,12,,,,,,,,,,,Bartley
2022-01,weekend,8,CC12,1392,1095,CC12,,,FALSE,,,12,,,,,,,,,,,Bartley
2022-01,weekday,11,CC12,3511,2134,CC12,,,FALSE,,,12,,,,,,,,,,,Bartley
2022-01,weekend,11,CC12,2321,973,CC12,,,FALSE,,,12,,,,,,,,,,,Bartley
2022-01,weekday,24,CC12,54,465,CC12,,,FALSE,,,12,,,,,,,,,,,Bartley
2022-01,weekend,24,CC12,31,206,CC12,,,FALSE,,,12,,,,,,,,,,,Bartley
2022-01,weekend,21,CC12,440,1376,CC12,,,FALSE,,,12,,,,,,,,,,,Bartley
2022-01,weekday,21,CC12,977,3360,CC12,,,FALSE,,,12,,,,,,,,,,,Bartley
2022-01,weekend,19,CC12,945,1828,CC12,,,FALSE,,,12,,,,,,,,,,,Bartley
2022-01,weekday,19,CC12,3223,5285,CC12,,,FALSE,,,12,,,,,,,,,,,Bartley
2022-01,weekday,13,CC12,14776,4801,CC12,,,FALSE,,,12,,,,,,,,,,,Bartley
