period,day_type,hour,station_code,tap_in_vol,tap_out_vol,code,code2,code3,interchange,NS,SW,CC,EW,NE,BP,CE,DT,PW,TE,PE,CG,SE,name
2022-02,weekend,6,EW31,553,1814,EW31,,,False,,,,31.0,,,,,,,,,,Tuas Crescent
2022-02,weekday,6,EW31,999,7425,EW31,,,False,,,,31.0,,,,,,,,,,Tuas Crescent
2022-02,weekday,15,EW7,6458,8859,EW7,,,False,,,,7.0,,,,,,,,,,Eunos
2022-02,weekend,15,EW7,4400,4843,EW7,,,False,,,,7.0,,,,,,,,,,Eunos
2022-02,weekend,17,NE12/CC13,10551,11638,NE12,CC13,,True,,,13.0,,12.0,,,,,,,,,Serangoon
2022-02,weekday,17,NE12/CC13,20120,26266,NE12,CC13,,True,,,13.0,,12.0,,,,,,,,,Serangoon
2022-02,weekday,8,NS21/DT11,43831,54913,NS21,DT11,,True,21.0,,,,,,,11.0,,,,,,Newton
2022-02,weekend,8,NS21/DT11,10741,12441,NS21,DT11,,True,21.0,,,,,,,11.0,,,,,,Newton
2022-02,weekend,24,NE16/STC,155,1136,NE16,STC,,True,,,,,16.0,,,,,,,,0.0,Sengkang
2022-02,weekday,24,NE16/STC,224,1757,NE16,STC,,True,,,,,16.0,,,,,,,,0.0,Sengkang
2022-02,weekday,23,CC23,792,197,CC23,,,False,,,23.0,,,,,,,,,,,one-north
2022-02,weekend,23,CC23,188,150,CC23,,,False,,,23.0,,,,,,,,,,,one-north
2022-02,weekday,22,DT13,4235,2128,DT13,,,False,,,,,,,,13.0,,,,,,Rochor
2022-02,weekend,22,DT13,1588,1117,DT13,,,False,,,,,,,,13.0,,,,,,Rochor
2022-02,weekend,23,NE14,840,5580,NE14,,,False,,,,,14.0,,,,,,,,,Hougang
2022-02,weekday,23,NE14,1207,9779,NE14,,,False,,,,,14.0,,,,,,,,,Hougang
2022-02,weekday,22,NS9/TE2,12576,21552,NS9,TE2,,True,9.0,,,,,,,,,2.0,,,,Woodlands
2022-02,weekend,22,NS9/TE2,7628,12545,NS9,TE2,,True,9.0,,,,,,,,,2.0,,,,Woodlands
2022-02,weekday,12,DT22,2612,3612,DT22,,,False,,,,,,,,22.0,,,,,,Jalan Besar
2022-02,weekend,12,DT22,2123,3336,DT22,,,False,,,,,,,,22.0,,,,,,Jalan Besar
2022-02,weekday,18,DT28,17221,11282,DT28,,,False,,,,,,,,28.0,,,,,,Kaki Bukit
2022-02,weekend,18,DT28,2923,3506,DT28,,,False,,,,,,,,28.0,,,,,,Kaki Bukit
2022-02,weekday,12,DT34,2624,1782,DT34,,,False,,,,,,,,34.0,,,,,,Upper Changi
2022-02,weekend,12,DT34,1630,855,DT34,,,False,,,,,,,,34.0,,,,,,Upper Changi
2022-02,weekday,9,SW7,2306,976,SW7,,,False,,7.0,,,,,,,,,,,,Tongkang
2022-02,weekend,9,SW7,1214,502,SW7,,,False,,7.0,,,,,,,,,,,,Tongkang
2022-02,weekday,12,NE17/PTC,22264,20238,NE17,PTC,,True,,,,,17.0,,,,0.0,,0.0,,,Punggol
2022-02,weekend,12,NE17/PTC,17154,14462,NE17,PTC,,True,,,,,17.0,,,,0.0,,0.0,,,Punggol
2022-02,weekend,19,NE8,15676,14533,NE8,,,False,,,,,8.0,,,,,,,,,Farrer Park
2022-02,weekday,19,NE8,17308,24796,NE8,,,False,,,,,8.0,,,,,,,,,Farrer Park
2022-02,weekend,21,CC24,1927,892,CC24,,,False,,,24.0,,,,,,,,,,,Kent Ridge
2022-02,weekday,21,CC24,8686,1467,CC24,,,False,,,24.0,,,,,,,,,,,Kent Ridge
2022-02,weekday,12,EW8/CC9,18538,25545,EW8,CC9,,True,,,9.0,8.0,,,,,,,,,,Paya Lebar
2022-02,weekend,12,EW8/CC9,19718,22198,EW8,CC9,,True,,,9.0,8.0,,,,,,,,,,Paya Lebar
2022-02,weekend,20,BP5,494,599,BP5,,,False,,,,,,5.0,,,,,,,,Phoenix
2022-02,weekday,20,BP5,1056,1236,BP5,,,False,,,,,,5.0,,,,,,,,Phoenix
2022-02,weekend,12,EW15,5353,7377,EW15,,,False,,,,15.0,,,,,,,,,,Tanjong Pagar
2022-02,weekday,12,EW15,12104,13497,EW15,,,False,,,,15.0,,,,,,,,,,Tanjong Pagar
2022-02,weekend,7,SW4,276,224,SW4,,,False,,4.0,,,,,,,,,,,,Thanggam
2022-02,weekday,7,SW4,2821,987,SW4,,,False,,4.0,,,,,,,,,,,,Thanggam
2022-02,weekday,22,DT33,2083,11023,DT33,,,False,,,,,,,,33.0,,,,,,Tampines East
2022-02,weekend,22,DT33,1256,5849,DT33,,,False,,,,,,,,33.0,,,,,,Tampines East
2022-02,weekend,11,EW24/NS1,15372,28009,EW24,NS1,,True,1.0,,,24.0,,,,,,,,,,Jurong East
2022-02,weekday,11,EW24/NS1,19880,36868,EW24,NS1,,True,1.0,,,24.0,,,,,,,,,,Jurong East
2022-02,weekday,21,NS13,22117,35626,NS13,,,False,13.0,,,,,,,,,,,,,Yishun
2022-02,weekend,21,NS13,12093,17801,NS13,,,False,13.0,,,,,,,,,,,,,Yishun
2022-02,weekday,5,NS13,18951,2635,NS13,,,False,13.0,,,,,,,,,,,,,Yishun
2022-02,weekend,5,NS13,4497,558,NS13,,,False,13.0,,,,,,,,,,,,,Yishun
2022-02,weekend,5,PW6,108,10,PW6,,,False,,,,,,,,,6.0,,,,,Sumang
2022-02,weekday,5,PW6,469,36,PW6,,,False,,,,,,,,,6.0,,,,,Sumang
2022-02,weekend,13,CC21,3017,2944,CC21,,,False,,,21.0,,,,,,,,,,,Holland Village
2022-02,weekday,13,CC21,4862,4529,CC21,,,False,,,21.0,,,,,,,,,,,Holland Village
2022-02,weekend,14,PE7,1463,1448,PE7,,,False,,,,,,,,,,,7.0,,,Damai
2022-02,weekday,14,PE7,2268,3438,PE7,,,False,,,,,,,,,,,7.0,,,Damai
2022-02,weekend,10,CC20,1941,1329,CC20,,,False,,,20.0,,,,,,,,,,,Farrer Road
2022-02,weekday,10,CC20,2260,1896,CC20,,,False,,,20.0,,,,,,,,,,,Farrer Road
2022-02,weekday,21,EW25,1991,6344,EW25,,,False,,,,25.0,,,,,,,,,,Chinese Garden
2022-02,weekend,21,EW25,1553,3119,EW25,,,False,,,,25.0,,,,,,,,,,Chinese Garden
2022-02,weekday,16,CC2,3123,1565,CC2,,,False,,,2.0,,,,,,,,,,,Bras Basah
2022-02,weekend,16,CC2,1350,912,CC2,,,False,,,2.0,,,,,,,,,,,Bras Basah
2022-02,weekday,14,CC12,10778,3224,CC12,,,False,,,12.0,,,,,,,,,,,Bartley
2022-02,weekend,14,CC12,1276,1234,CC12,,,False,,,12.0,,,,,,,,,,,Bartley
2022-02,weekend,16,NS20,8507,5984,NS20,,,False,20.0,,,,,,,,,,,,,Novena
2022-02,weekday,16,NS20,32388,12649,NS20,,,False,20.0,,,,,,,,,,,,,Novena
2022-02,weekday,16,NS14,14503,20733,NS14,,,False,14.0,,,,,,,,,,,,,Khatib
2022-02,weekend,16,NS14,9425,9663,NS14,,,False,14.0,,,,,,,,,,,,,Khatib
2022-02,weekend,11,NS15,5324,2837,NS15,,,False,15.0,,,,,,,,,,,,,Yio Chu Kang
2022-02,weekday,11,NS15,12456,8025,NS15,,,False,15.0,,,,,,,,,,,,,Yio Chu Kang
2022-02,weekend,5,CC22/EW21,313,105,CC22,EW21,,True,,,22.0,21.0,,,,,,,,,,Buona Vista
2022-02,weekday,5,CC22/EW21,1607,874,CC22,EW21,,True,,,22.0,21.0,,,,,,,,,,Buona Vista
