,postal,x,y,lat,long,name,subzone,area,region,code,status,bus_interchange,mrt_interchange,code1,code2,code3,CC,NE,NS,DT,EW,CG,BP,TE,CE,svc,bus count,pop,hub,min_dist,nearest_hub,cluster,bus_rank,pop_rank,dist_rank,pop-bus_rank
54,48618,30019.18053,29617.61258,1.28412561,103.8514617,Raffles Place,Raffles Place,Downtown Core,Central,EW14 / NS26,operational,False,True,EW14,NS26,,,,26.0,,14.0,,,,,"130,850E,70,131,196A,196,656,665,162,660,868E,167,652,75,100,10e,10,196e,951E,107,131A,57,663",23,40.0,True,0.0,Raffles Place,2.0,0.7195121951219512,0.10975609756097561,0.02032520325203252,-0.6097560975609756
55,69119,29380.756739999997,28781.18833,1.276561317,103.8457252,Tanjong Pagar,Tanjong Pagar,Downtown Core,Central,EW15,operational,False,False,EW15,,,,,,,15.0,,,,,"186,672,670,653,651,671,131,666,656,970,655,665,660,167,652,661,654,667,57,668,657,400,663",23,670.0,False,1.0555294077844253,Raffles Place,2.0,0.7195121951219512,0.23170731707317074,0.08943089430894309,-0.4878048780487805
56,158792,26155.0535,30226.75978,1.2896345340000002,103.81674100000001,Redhill,Redhill,Bukit Merah,Central,EW18,operational,False,False,EW18,,,,,,,18.0,,,,,"32,145,33A,186,63,122,51,33,145A,64,970,139,120,NR5,63A,132",16,10620.0,False,3.908097849352169,Raffles Place,1.0,0.5203252032520326,0.5284552845528455,0.44715447154471544,0.008130081300812941
57,149729,24968.26735,30770.391110000004,1.294550852,103.8060772,Queenstown,Mei Chin,Queenstown,Central,EW19,operational,False,False,EW19,,,,,,,19.0,,,,,"111,186,145,195,51,64,970,195A,NR5",9,15570.0,False,5.176712782653109,Raffles Place,1.0,0.25203252032520324,0.6341463414634146,0.6097560975609756,0.3821138211382114
58,529538,40444.9732,37267.02627,1.3533016759999998,103.9451446,Tampines,Tampines East,Tampines,East,EW2/DT32,operational,True,True,EW2,DT32,,,,,32.0,2.0,,,,,"72,19,46,31A,293T,2N,68A,15,37,969A,129,29A,31,8,3,68,4,969,67,291T,15A,27,65,298,23,38,10,69,81,28,29,20,68B,127,21,127A,293,168,291,3A,27A,292",42,130980.0,True,0.0,Tampines,1.0,0.9186991869918699,0.9959349593495935,0.02032520325203252,0.07723577235772361
59,149735,24094.795140000002,31649.59892,1.302501999,103.79822850000001,Commonwealth,Commonwealth,Queenstown,Central,EW20,operational,False,False,EW20,,,,,,,20.0,,,,,"32,196,111,145,105,198,147,122,195,100,970,195A,NR5,61",14,7000.0,False,6.260601830569837,Raffles Place,1.0,0.44715447154471544,0.44715447154471544,0.7804878048780488,0.0
60,138677,21914.55093,32634.11863,1.311405293,103.7786378,Dover,Singapore Polytechnic,Queenstown,Central,EW22,operational,False,False,EW22,,,,,,,22.0,,,,,"105,147,106,NR8,74,NR5,166,185,14",9,100.0,False,4.7093153506538625,Jurong East,2.0,0.25203252032520324,0.13821138211382114,0.5365853658536586,-0.1138211382113821
61,609959,16790.74663,36056.301889999995,1.342352821,103.7325967,Chinese Garden,Lakeside (Leisure),Jurong East,West,EW25,operational,False,False,EW25,,,,,,,25.0,,,,,"180,335,180A",3,1070.0,False,1.4855128960846857,Jurong East,0.0,0.08943089430894309,0.2845528455284553,0.17886178861788618,0.1951219512195122
62,649845,15494.49695,36267.14703,1.344259115,103.7209491,Lakeside,Taman Jurong,Jurong West,West,EW26,operational,False,False,EW26,,,,,,,26.0,,,,,"180,154B,98M,98A,246,187,154,98B,49,180A,98,240,240M,240A,154A,335",16,39920.0,False,2.6741801522501913,Jurong East,0.0,0.5203252032520326,0.8699186991869918,0.3008130081300813,0.34959349593495925
63,648310,12864.96983,35529.51155,1.3375870109999999,103.6973216,Pioneer,Jurong West Central,Jurong West,West,EW28,operational,False,False,EW28,,,,,,,28.0,,,,,"193,502A,974A,5N,192,974,651,241,179,241A,502,258,185",13,63760.0,False,5.02274792250056,Jurong East,0.0,0.4065040650406504,0.9552845528455285,0.5934959349593496,0.5487804878048781
64,529888,41361.22817,36149.75278,1.343197079,103.9533772,Simei,Simei,Tampines,East,EW3,operational,False,False,EW3,,,,,,,3.0,,,,,"20,9A,5,38,4N,9",6,39450.0,False,1.4491265706497145,Tampines,1.0,0.15040650406504066,0.8577235772357723,0.16260162601626016,0.7073170731707317
65,637288,8770.351501000001,33526.57337,1.3194709009999999,103.66053050000001,Gul Circle,Gul Circle,Pioneer,West,EW30,operational,False,False,EW30,,,,,,,30.0,,,,,"192,193",2,20.0,False,9.21484949045348,Jurong East,2.0,0.052845528455284556,0.07317073170731707,0.967479674796748,0.020325203252032513
66,639608,7495.837867,33698.726310000005,1.3210269559999999,103.6490782,Tuas Crescent,Tuas North,Tuas,West,EW31,operational,False,False,EW31,,,,,,,31.0,,,,,"254,247",2,30.0,False,10.448848491215385,Jurong East,2.0,0.052845528455284556,0.09349593495934959,0.983739837398374,0.04065040650406503
67,639609,6442.928612,34689.35177,1.329985047,103.6396166,Tuas West Road,Tuas Bay,Tuas,West,EW32,operational,False,False,EW32,,,,,,,32.0,,,,,"248M,254,193,192,248",5,10.0,False,11.418701030380934,Jurong East,2.0,0.12195121951219512,0.032520325203252036,0.991869918699187,-0.08943089430894308
68,467356,40579.099780000004,34379.43168,1.327187291,103.9463486,Tanah Merah,Bedok South,Bedok,East,EW4,operational,False,False,EW4,,,,,,,4.0,,,,,"9A,24,35M,47,12e,9,45,35,14A,38,12,31,31A,48,2,2A,14",17,46690.0,False,2.906870028471813,Tampines,1.0,0.5487804878048781,0.9186991869918699,0.3333333333333333,0.36991869918699183
69,416551,36861.961489999994,33699.34405,1.3210381340000001,103.9129479,Kembangan,Kembangan,Bedok,East,EW6,operational,False,False,EW6,,,,,,,6.0,,,,,"26,24,32,854,30,7,135,28,42,25,2,33,2A,67",14,37460.0,False,5.067609322248828,Tampines,1.0,0.44715447154471544,0.8373983739837398,0.6016260162601627,0.3902439024390244
70,388310,33518.604869999996,33190.00202,1.316432612,103.882906,Aljunied,Aljunied,Geylang,Central,EW9,operational,False,False,EW9,,,,,,,9.0,,,,,"26,80A,137,2A,100A,158,62A,62,63A,853M,67,125,51,100,13,80,158A,63,21,125A,40,2",22,39990.0,False,5.012384629157317,Raffles Place,1.0,0.6788617886178862,0.8861788617886179,0.5853658536585366,0.20731707317073178
71,347694,31977.166760000004,34842.7251,1.33137949,103.8690557,Potong Pasir,Potong Pasir,Toa Payoh,Central,NE10,operational,False,False,NE10,,,,10.0,,,,,,,,"NR6,853,147,506,13,147A,107M,142A,142,853M,107,133",12,11720.0,False,5.606602970589618,Raffles Place,1.0,0.3617886178861789,0.5609756097560976,0.6666666666666666,0.19918699186991873
72,534799,33758.7578,38027.27944,1.360179171,103.8850649,Kovan,Kovan,Hougang,North-East,NE13,operational,False,False,NE13,,,,13.0,,,,,,,,"119,153,112,101,112A,82,107M,81,80,80A,115,113A,113,107,136",15,24810.0,False,6.722325772437863,Tampines,1.0,0.4796747967479675,0.6829268292682927,0.8455284552845529,0.20325203252032525
74,59815,29473.124939999998,30088.703789999996,1.288386024,103.8465552,Clarke Quay,Clarke Quay,Singapore River,Central,NE5,operational,False,False,NE5,,,,5.0,,,,,,,,"NR6,5N,195,147,124,147A,12,961M,2N,2A,1N,32,851,961,195A,NR5,63A,33,166,851e,190,174,6N,51,NR8,NR3,NR2,80,63,4N,174e,61,145,12e,NR1,3N,2,54,197",39,130.0,False,0.7224482438673576,Raffles Place,2.0,0.8983739837398373,0.15853658536585366,0.06504065040650407,-0.7398373983739837
75,229900,29817.20857,32124.85018,1.306800197,103.84964709999998,Little India,Farrer Park,Rochor,Central,NE7/DT12,operational,False,True,NE7,DT12,,,7.0,,12.0,,,,,,"170A,NR6,147,5N,139,131,980,1N,56,851,48,166,67,857,851e,6N,64,65,23,960,131A,57,3N,960e",24,2660.0,False,2.529355827776266,Raffles Place,2.0,0.7520325203252033,0.34552845528455284,0.2926829268292683,-0.40650406504065045
76,218703,30243.52065,32689.37956,1.311905573,103.8534777,Farrer Park,Farrer Park,Rochor,Central,NE8,operational,False,False,NE8,,,,8.0,,,,,,,,"141,131",2,2660.0,False,3.097110107391115,Raffles Place,1.0,0.052845528455284556,0.34552845528455284,0.35772357723577236,0.2926829268292683
77,328260,31144.04501,33510.974610000005,1.319335709,103.8615695,Boon Keng,Bendemeer,Kallang,Central,NE9,operational,False,False,NE9,,,,9.0,,,,,,,,"125,130,NR6,21,857,147,64,65,13,23,985,139,31,140,133",15,37570.0,False,4.073235695128358,Raffles Place,1.0,0.4796747967479675,0.8455284552845529,0.4715447154471545,0.3658536585365854
78,738344,24402.38663,46918.5068,1.4405885619999999,103.8009905,Admiralty,Woodlands East,Woodlands,North,NS10,operational,False,False,NS10,,,,,10.0,,,,,,,"965A,913,962,912,965,962C,964,904,901M,NR2,965T,912A,969",13,98980.0,False,1.5358149236906202,Woodlands,0.0,0.4065040650406504,0.983739837398374,0.18699186991869918,0.5772357723577236
79,756972,27597.596939999996,47193.60088,1.443076641,103.82970259999999,Canberra,Sembawang Springs,Sembawang,North,NS12,operational,False,False,NS12,,,,,12.0,,,,,,,"169A,117,883B,169,883,883M,117M",7,9090.0,False,4.707606121269792,Woodlands,0.0,0.18699186991869918,0.4715447154471545,0.5284552845528455,0.2845528455284553
