BusStopCode,RoadName,Description,Latitude,Longitude,svc,len
53019,Upp Thomson Rd,OPP ST. THERESA'S HME,1.34600349626668,103.83871779531223,"162M,163,980,130,132,167,52,165,162,74,852,855,166",13.0
53021,Upp Thomson Rd,Opp Shunfu Est,1.34967996840542,103.83652457261992,"162M,163,980,130,132,167,52,165,162,855,166",11.0
53029,Upp Thomson Rd,Shunfu Est,1.34939240848355,103.83729222566143,"162M,163,980,130,132,167,52,165,162,855,166",11.0
53039,Upp Thomson Rd,Thomson CC,1.3514468173532799,103.83591070615076,"162M,163,980,130,132,167,52,165,162,855,166",11.0
53041,Upp Thomson Rd,Bef Thomson Ridge,1.3530783161279198,103.8343639597673,"162M,410G,163,980,132,167,410,52,165,162,855,166",12.0
53049,Upp Thomson Rd,Bef Jln Todak,1.35362664583092,103.83422172361445,"162M,163,980,132,167,410,52,165,162,410W,855,166",12.0
53051,Upp Thomson Rd,Upp Thomson Stn Exit 5,1.3549950000000002,103.8316003,"162M,410G,163,980,132,167,410,52,165,162,855,166",12.0
53059,Upp Thomson Rd,Upp Thomson Stn Exit 2,1.3554709999999999,103.83122309999999,"162M,163,980,132,167,410,52,165,162,410W,855,166",12.0
53061,Upp Thomson Rd,Bef Windsor Pk Rd,1.3571583010953001,103.82883507046124,"162M,410G,163,980,132,167,410,52,165,162,855,166",12.0
53069,Upp Thomson Rd,Aft Windsor Pk Rd,1.3577715928627399,103.82894351047115,"162M,163,980,132,167,410,52,165,162,410W,855,166",12.0
53071,Upp Thomson Rd,Opp Flame Tree Pk,1.36063333692202,103.82834252087906,"163,980,167,132,165,855,166",7.0
53079,Upp Thomson Rd,Flame Tree Pk,1.36082666696977,103.82864333297206,"163,980,167,132,165,855,166",7.0
53081,Upp Thomson Rd,Opp Faber Gdn,1.3631930379887802,103.82783467220469,"163,980,167,132,165,855,166",7.0
53089,Upp Thomson Rd,Faber Gdn,1.363977,103.828198,"163,980,167,132,165,855,166",7.0
53091,Upp Thomson Rd,Bef Ang Mo Kio Ave 1,1.36482025993725,103.8279237884758,"163,980,167,132,165,855,166",7.0
53099,Upp Thomson Rd,Aft Ang Mo Kio Ave 1,1.3666063816547298,103.828428661727,"163,980,167,132,165,855,166",7.0
53111,Marymount Rd,Bef Marymount Lane,1.34549638897792,103.83890138902031,"851,54",2.0
53119,Marymount Rd,Aft Bishan St 21,1.347063,103.839451,"851,54",2.0
53121,Marymount Rd,Marymount Stn,1.35016694219359,103.83947418569129,"410G,410,54,74,852,851",6.0
53129,Marymount Rd,Opp Marymount Stn,1.3496805772652098,103.83978033272379,"410,851,54,410W",4.0
53131,Marymount Rd,Blk 319,1.3531580520899498,103.84031279218438,"851,54,74,852",4.0
53139,Marymount Rd,Marymount View,1.3525634599965302,103.8404366731736,"851,54,74,852",4.0
53141,Marymount Rd,Opp Whitley Sec Sch,1.35566500759395,103.8413270652052,"851,54,74,852",4.0
53149,Marymount Rd,Whitley Sec Sch,1.35548111090619,103.84161232917471,"851,54,74,852",4.0
53151,Marymount Rd,Opp Blk 263A CP,1.357995,103.841113,"851,54,74,852",4.0
53159,Marymount Rd,Blk 260,1.3586120000000002,103.841265,"851,54,74,852",4.0
53161,Marymount Rd,Opp Blk 254,1.362208,103.842055,"13,130,NR1,88,74,852,851",7.0
53169,Marymount Rd,Blk 254,1.362165,103.842512,"13,13A,88,74,852,851",6.0
53171,Sin Ming Rd,Blk 23,1.35466138896969,103.83630694400976,130,1.0
53179,Sin Ming Rd,Sin Ming Plaza,1.353043,103.835842,"410,410G,130",3.0
53181,Sin Ming Rd,Amtech Bldg,1.35607279929568,103.83781001395548,130,1.0
53189,Sin Ming Rd,Blk 25,1.35496333303081,103.83681111097367,"130A,130",2.0
53191,Sin Ming Rd,Blk 7 Ind Est,1.3583794482858602,103.8390891739228,130,1.0
53199,Sin Ming Rd,Blk 22A CP,1.35754830843445,103.83899242953869,"130A,130",2.0
53201,Sin Ming Dr,Opp Nea Reg Off,1.36128501070806,103.83850250682742,130,1.0
53209,Sin Ming Dr,Aft Nea Reg Off,1.3609982873301798,103.83852670989133,"130A,130",2.0
53211,Bishan Rd,Opp Raffles Instn,1.34707169454274,103.84712672325323,"13,57,88,59,156,56,71",7.0
53219,Bishan Rd,Raffles Instn,1.3460611110228602,103.8465836110301,"13,57,88,59,156,56",6.0
53221,Bishan St 11,BLK 115,1.34816840593896,103.8484543562104,"410G,71,410,NR1,52,55B,57,54,58,59,56,50,55",13.0
53229,Bishan St 11,Blk 501,1.34822303496432,103.84927239325485,"52,57,54,58,59,56,50,55",8.0
53231,Bishan Rd,BISHAN STN,1.3508999784473201,103.84797987894206,"13,71,52,13A,54,58,88,156,50,55",10.0
53239,Bishan Rd,OPP BISHAN STN,1.35100305612802,103.84765878186458,"13,71,NR1,52,55B,54,58,88,156,50,55",11.0
53241,Bishan Rd,OPP BLK 217,1.35615639153054,103.84995659632312,"162M,53,71,58,162,156,50,55",8.0
53249,Bishan Rd,BLK 210,1.35538305217047,103.84911895270494,"162M,53,71,55B,58,162,156,50,55",9.0
