,name,station_code,code,code2,code3,interchange,NS,SW,CC,EW,NE,BP,CE,DT,PW,TE,PE,CG,SE,totalTapIn,totalTapOut,cluster,postal,x,y,lat,long,subzone,area,region,status,bus_interchange,mrt_interchange,svc,bus count,pop,geometry,groceryCount,mallCount,adj_stations,dist_to_nearest_station,hub,min_dist_to_hub,nearest_hub,bus_rank,pop_rank,hub_dist_rank,adj_count_rank,dist_to_neighbour_rank,pop-bus_rank,bizCount
30,Telok Ayer,DT18,DT18,,,False,,,,,,,,18.0,,,,,,132294.25,141547.5,1.0,48416,29706.12592,29390.19539,1.282068948,103.8486488,Chinatown,Outram,Central,operational,False,False,"130,186,850E,70,131,196,656,970,665,868E,162,660,167,652,75,100,10e,10,196e,951E,107,57,663",23,10490.0,POINT (1.282068948 103.8486488),36,34,16.0,0.3874037875731798,False,0.3874037875731798,Raffles Place,0.7550335570469798,0.5671140939597316,0.03355704697986577,0.8926174496644296,0.05704697986577181,-0.18791946308724827,7855
31,Cashew,DT2,DT2,,,False,,,,,,,,2.0,,,,,,37019.25,29857.25,2.0,679696,20334.55891,39092.85854,1.369815449,103.7644392,Jelebu,Bukit Panjang,West,operational,False,False,"170A,961,184,176,75,178,970,177,963,961M,67",11,31310.0,POINT (1.369815449 103.7644392),19,9,3.0,0.8942697593465071,False,4.762761325888915,Jurong East,0.3959731543624161,0.8187919463087249,0.5637583892617449,0.34899328859060397,0.41946308724832215,0.4228187919463088,566
32,Fort Canning,DT20,DT20,,,False,,,,,,,,20.0,,,,,,59072.5,62220.75,2.0,179038,29225.627610000003,30541.60877,1.292481948,103.8443314,Clarke Quay,Singapore River,Central,operational,False,False,"NR6,5N,195,139,2N,1N,32,195A,NR5,6N,NR8,64,NR3,NR2,4N,123,NR1,3N,143,54",20,130.0,POINT (1.292481948 103.8443314),58,48,19.0,0.5182133562071954,False,1.2213428367730428,Raffles Place,0.674496644295302,0.1644295302013423,0.12751677852348994,0.9697986577181208,0.12751677852348994,-0.5100671140939597,9214
33,Bencoolen,DT21,DT21,,,False,,,,,,,,21.0,,,,,,72228.0,67475.0,2.0,189658,29895.86395,31253.32587,1.298918434,103.8503538,Bencoolen,Rochor,Central,operational,False,False,"NR6,147,5N,850E,124,147A,162M,139,131,502,2N,1N,111,56,656,665,162,660,166,36,16M,857,502A,167,190,6N,174,652,65,64,175,518,951E,77,4N,174e,131A,14e,7,857B,106,3N,36B,16,518A,663,14",47,1310.0,POINT (1.298918434 103.8503538),60,49,18.0,0.23134175545130906,False,1.6494914203880615,Raffles Place,0.9630872483221476,0.3120805369127517,0.19463087248322147,0.9429530201342282,0.010067114093959731,-0.651006711409396,9342
34,Jalan Besar,DT22,DT22,,,False,,,,,,,,22.0,,,,,,80820.75,87332.5,0.0,208826,30445.85298,31944.74962,1.305171388,103.8552957,Sungei Road,Rochor,Central,operational,False,False,"170A,130,147,147A,139,2N,851,48,67,857,851e,64,65,23,960,4N,57,857B,960e",19,2050.0,POINT (1.305171388 103.8552957),54,45,17.0,0.31684077589378634,False,2.3786796864105724,Raffles Place,0.6409395973154363,0.34899328859060397,0.2885906040268457,0.9127516778523491,0.03691275167785235,-0.29194630872483224,6678
35,Bendemeer,DT23,DT23,,,False,,,,,,,,23.0,,,,,,48946.25,49219.0,1.0,339356,31300.767610000006,32884.770919999995,1.313672528,103.8629776,Kallang Bahru,Kallang,Central,operational,False,False,"961,175,107M,961M,107,61",6,20.0,POINT (1.313672528 103.8629776),50,24,11.0,0.648880450373166,False,3.526068390161396,Raffles Place,0.2046979865771812,0.09060402684563758,0.4026845637583893,0.8087248322147651,0.15771812080536912,-0.11409395973154365,4169
36,Geylang Bahru,DT24,DT24,,,False,,,,,,,,24.0,,,,,,74081.75,73595.5,0.0,339355,32262.86126,33728.31269,1.321301102,103.8716226,Geylang Bahru,Kallang,Central,operational,False,False,"26,853,175,107M,853M,140,107,61",8,11280.0,POINT (1.321301102 103.8716226),49,7,8.0,1.091381607330642,False,4.702203235019118,Raffles Place,0.2651006711409396,0.6040268456375839,0.5436241610738255,0.7550335570469798,0.6308724832214765,0.3389261744966443,3904
37,Mattar,DT25,DT25,,,False,,,,,,,,25.0,,,,,,56477.25,59515.25,2.0,379314,33556.583439999995,34344.85853,1.326876715,103.8832475,Macpherson,Geylang,Central,operational,False,False,"155,135,154,158,65,40,63,63A,63M,61",10,28360.0,POINT (1.326876715 103.8832475),32,3,9.0,0.6775042796779599,False,5.923120647868491,Raffles Place,0.34899328859060397,0.7751677852348994,0.7181208053691275,0.7785234899328859,0.17785234899328858,0.42617449664429535,3726
38,Ubi,DT27,DT27,,,False,,,,,,,,27.0,,,,,,112029.0,111569.5,2.0,408899,35334.89183,34687.41099,1.32997426,103.8992267,Kampong Ubi,Geylang,Central,operational,False,False,"61,63,137,65,8,63A,63M,22",8,11800.0,POINT (1.32997426 103.8992267),30,2,7.0,1.166889206781922,False,5.725692256320612,Tampines,0.2651006711409396,0.6241610738255033,0.6912751677852349,0.714765100671141,0.7248322147651006,0.3590604026845637,3569
39,Kaki Bukit,DT28,DT28,,,False,,,,,,,,28.0,,,,,,141341.5,137041.25,2.0,415804,36362.37828,35239.552260000004,1.33496736,103.9084593,Kaki Bukit,Bedok,East,operational,False,False,"15A,5,59,58A,87,15,58B,58",8,37150.0,POINT (1.33496736 103.9084593),24,4,4.0,1.0584736263018817,False,4.5592873739521655,Tampines,0.2651006711409396,0.8557046979865772,0.5302013422818792,0.4697986577181208,0.6006711409395973,0.5906040268456376,2810
